maamar_id,date_occasion_parsha,title,continuation,hanacha_type,url,google_drive_count,google_drive_1,google_drive_2,google_drive_3,google_drive_4,google_drive_5,google_drive_6,google_drive_7,google_drive_8,google_drive_9,google_drive_10
1,,,,,https://www.mafteiach.app/maamorim/1,3,https://drive.google.com/open?id=1dcUlOogSCT2_fZXgGTQb9nzaMsZLaO9n\,https://drive.google.com/file/d/1-0QomRWF3o-LUOwMnTQC8aRkl0bLVTxD/view?usp=drivesdk\,https://drive.google.com/file/d/1uVzlvGhLlA2eXGRpTZsrHACTPl9OwWRw/view?usp=sharing\,,,,,,,
2,,,,,https://www.mafteiach.app/maamorim/2,3,https://drive.google.com/open?id=1a6oYG92kxqNmYDzqH2cZQqe5hCg8MKR-\,https://drive.google.com/file/d/1xJHf6P91y4XiMbn9NgkaQzT78wLrJN8P/view?usp=drive_link\,https://drive.google.com/file/d/0B_UwzYOTIwDTRlpJSDRqOEhsQkk/view?usp=drive_link&amp;resourcekey=0-Z87Erti6MoyLG97S_Fmt5A\,,,,,,,
3,,,,,https://www.mafteiach.app/maamorim/3,2,https://drive.google.com/open?id=14pXg8a29bNAo6rT6JM_mqG784TPnoGFx\,https://drive.google.com/file/d/19fscYXXuFwxKtkDSjWCmUaa7HxSFZnqA/view?usp=drivesdk\,,,,,,,,
4,,,,,https://www.mafteiach.app/maamorim/4,4,https://drive.google.com/open?id=1RLBa0pk8lhniuKDGPkQoH-ebZOl4kWN4\,https://drive.google.com/file/d/1hWyPkjkw_kJWEEiQplefyvP2ygFR50h1/view?usp=drivesdk\,https://drive.google.com/file/d/153Vwrkj1dRLCj-E_FsPjQlc8h3eb9XYN/view?usp=sharing\,https://drive.google.com/file/d/1mkwy8oKUEg8cOnpjZWGw5UYXYa_a6_W2/view?usp=sharing\,,,,,,
5,,,,,https://www.mafteiach.app/maamorim/5,3,https://drive.google.com/open?id=1xFeIrpB9voZ7fcanjZze9g5rEykkOJ-4\,https://drive.google.com/open?id=1IDC1EFSdimLJ8wE1toWi0ujXOrJbZOcS\,https://drive.google.com/file/d/1QXD-8CoRqVXE0mzkbUeJVW6j2eczNwaa/view?usp=sharing\,,,,,,,
6,,,,,https://www.mafteiach.app/maamorim/6,2,https://drive.google.com/open?id=1Re_xV4heqvkcA_k-s09UEZYCQvgs63nG\,https://drive.google.com/file/d/1btcDtsHz0gWzWAlKszcp6wo-hF_v2D00/view?usp=drivesdk\,,,,,,,,
7,,,,,https://www.mafteiach.app/maamorim/7,2,https://drive.google.com/open?id=1gBPbzGaAO2RvQZrEOx3gQdycbBqHjiVz\,https://drive.google.com/file/d/1DBERf49xZXqLKvWh545m8LckfiINZHsB/view?usp=drivesdk\,,,,,,,,
8,,,,,https://www.mafteiach.app/maamorim/8,2,https://drive.google.com/open?id=1F5k0Zz3RVUQ-59l_H0CutveXYH0MdqTE\,https://drive.google.com/file/d/1Ua5Z6xo7aPQggyyFg6VRImFB9ZYIp0YI/view?usp=drivesdk\,,,,,,,,
9,,,,,https://www.mafteiach.app/maamorim/9,4,https://drive.google.com/open?id=1hSKVkKEPmFRtj9r3Xh3iK0Vr47GHUBYa\,https://drive.google.com/file/d/1tA-m343Y3CNeTxzhOFgVb-LjruF65462/view?usp=drivesdk\,https://drive.google.com/file/d/1uRkJxTpoRElU8tVbwhJEfpJ2rXJSJmMG/view?usp=drive_link\,https://drive.google.com/file/d/1bv5bmIs6_teqzcoZkx29WdiUVuiNvjFy/view\,,,,,,
10,,,,,https://www.mafteiach.app/maamorim/10,3,https://drive.google.com/open?id=1qlJt_gyjdgXne3qerF-MQ_MxuKxynmfF\,https://drive.google.com/file/d/1f7eWfG2HzDBAd71vjaL-JNqOZuSck9ug/view?usp=drivesdk\,https://drive.google.com/file/d/1pS4w06ms8_RnbUB6RxJTv_jTy3WWmtOm/view?usp=sharing\,,,,,,,
11,,,,,https://www.mafteiach.app/maamorim/11,2,https://drive.google.com/open?id=1YYG8xVJFTkWc3A4QU69GKxA0cK1gTfb8\,https://drive.google.com/file/d/1OM7pDbebHQ0AG70TiWk5S5068yYGAXF0/view?usp=drivesdk\,,,,,,,,
12,,,,,https://www.mafteiach.app/maamorim/12,2,https://drive.google.com/open?id=1pExOR8GrLFY_bXQaUumy9Uqi9_xyioz5\,https://drive.google.com/file/d/1NWnMs_Sw4lMRsF9bURmS430uB8CcbS3s/view?usp=drivesdk\,,,,,,,,
13,,,,,https://www.mafteiach.app/maamorim/13,2,https://drive.google.com/open?id=1IsQWB1w8XhwpWEww4uD5yFN1wgP1cRbs\,https://drive.google.com/file/d/1p258EQdkzCKb27WDydrO32hPAqoE34e8/view?usp=drivesdk\,,,,,,,,
14,,,,,https://www.mafteiach.app/maamorim/14,2,https://drive.google.com/open?id=1MD7c8IaaUNdFoaTaXNuZNoa2PMUWSTf8\,https://drive.google.com/file/d/1T-JCKPR-Eomc0HbTBsp1anKB4n7gAxU8/view?usp=drivesdk\,,,,,,,,
15,,,,,https://www.mafteiach.app/maamorim/15,3,https://drive.google.com/open?id=1kGTY5PP-X52PnQQMaawxCP0IQ34hCdza\,https://drive.google.com/file/d/1NGJb6FTUiIoQ4PifoL9QGMYCy_cj_NBC/view?usp=drivesdk\,https://drive.google.com/file/d/1-vRDw3uhEn9z4gXNgV-KWBSV0pLE_GR-/view\,,,,,,,
16,,,,,https://www.mafteiach.app/maamorim/16,2,https://drive.google.com/open?id=1L9U8s7PjcKyQmW87CZWbV-azLx5CLx-R\,https://drive.google.com/file/d/1eTieyiCicEpnmhYPQln1W2wL-c26i-Tj/view?usp=drivesdk\,,,,,,,,
17,,,,,https://www.mafteiach.app/maamorim/17,3,https://drive.google.com/open?id=1d_Xp--KdMMZs5CAwo0dC5hWHOBkgr1S9\,https://drive.google.com/file/d/1tlZY7JGfH5FbLhQ84FpKEYMvdzhRUM4Q/view?usp=drivesdk\,https://drive.google.com/file/d/1FE0BiIvsc7DUc0sdskWT9MSHPTyR3cfm/view?usp=sharing\,,,,,,,
18,,,,,https://www.mafteiach.app/maamorim/18,3,https://drive.google.com/open?id=1QR7mwBikvMuo3WOn1WgrX_7sXmEO7Wez\,https://drive.google.com/file/d/1j2FF8DIRjv6AGHKH1yJOxUXO8bY8alyU/view?usp=drivesdk\,https://drive.google.com/file/d/1FE0BiIvsc7DUc0sdskWT9MSHPTyR3cfm/view?usp=sharing\,,,,,,,
19,,,,,https://www.mafteiach.app/maamorim/19,3,https://drive.google.com/open?id=18yuqPKFhVCeDpKWZxd_zpy1eTBMQOZLp\,https://drive.google.com/file/d/1SSqugPBo82eZDDmQEh8s5EBo4VguqhQB/view?usp=drivesdk\,https://drive.google.com/file/d/1FE0BiIvsc7DUc0sdskWT9MSHPTyR3cfm/view?usp=sharing\,,,,,,,
20,,,,,https://www.mafteiach.app/maamorim/20,2,https://drive.google.com/open?id=1LhRH8IWGQf2-GOO5gG5cxlfuaq--u3mM\,https://drive.google.com/file/d/1iXxibNnvLwqFT-_8VVBbRSLdMhMxD41D/view?usp=drivesdk\,,,,,,,,
21,,,,,https://www.mafteiach.app/maamorim/21,2,https://drive.google.com/open?id=1bjECmmFADqUFvU8sbnwdYr8PonHJTk-P\,https://drive.google.com/file/d/1gAJ4BYGbf_GocnUljIleQItXUKgFHYid/view?usp=drivesdk\,,,,,,,,
22,,,,,https://www.mafteiach.app/maamorim/22,2,https://drive.google.com/open?id=1k45joO787wpYRnOAZP1kmzECeNwBwus3\,https://drive.google.com/file/d/1W6O_bRVsrIvLuqqMRXeV6JpV2qCCnRxU/view?usp=drivesdk\,,,,,,,,
23,,,,,https://www.mafteiach.app/maamorim/23,4,https://drive.google.com/open?id=1KXxlqPgtLGnu2XyamvbDKyq_hK4M27Or\,https://drive.google.com/file/d/1YU4wglBFstUrD7y47qZYm8dmtOuzyqRy/view?usp=drivesdk\,https://drive.google.com/file/d/1tXg1fzSQbVJNCicVb2ec1ThXEiXC_MvI/view?usp=sharing\,https://drive.google.com/file/d/1t_OijKJA_kh16CzbDDMLP1VnWGhCgKR7/view?usp=sharing\,,,,,,
24,,,,,https://www.mafteiach.app/maamorim/24,5,https://drive.google.com/open?id=1d7ZcfpH5WTL81fQAGLMGnKvv9yju69KN\,https://drive.google.com/file/d/13wHuwV4iU25ItA-quiv246Gg6YhZVk8x/view?usp=sharing\,https://drive.google.com/file/d/1HT-E1qPkfDNJQUKST1TEJjN7N7U-7ijG/view?usp=sharing\,https://drive.google.com/file/d/1z36si6hIa2zPp6hjF_3Fe9X-GhQ1t8Z4/view?usp=drive_link\,https://drive.google.com/open?id=1MpMRA8dUuIs_JUwvG5GMOOkhf_Lj2iOK\,,,,,
25,,,,,https://www.mafteiach.app/maamorim/25,3,https://drive.google.com/open?id=1xaWjj37A7oaSfSvmrCRP4j8qsCFRnz4o\,https://drive.google.com/file/d/1sCCIVR6F2YN7AQbYqMXkmZH5-q_KynTW/view?usp=drivesdk\,https://drive.google.com/file/d/1M_ixul_x5WL0jwC7X5RnpK9jVMJ1DZ1y/view\,,,,,,,
26,,,,,https://www.mafteiach.app/maamorim/26,2,https://drive.google.com/open?id=1yrEmcFl1YpIQt72IRroK-bD_Au7-mxcs\,https://drive.google.com/file/d/1rB4hrK23Pd0farBT5nAlyt0HjhHs7Cj1/view?usp=drivesdk\,,,,,,,,
27,,,,,https://www.mafteiach.app/maamorim/27,4,https://drive.google.com/open?id=1M0jHiqXAr6F59z4kJG_Ccfvi24dG_4Xf\,https://drive.google.com/file/d/1HRfRPfqkIoEFc1rvXe2EVQ265vpe-tew/view?usp=drivesdk\,https://drive.google.com/file/d/1eUOHI4k1s_s4ObydaOVfhwC1rwNkL9u9/view?usp=drive_link\,https://drive.google.com/file/d/14h8ZMQ842ICoIEFZb6FCTkUeq0wlpOLE/view\,,,,,,
28,,,,,https://www.mafteiach.app/maamorim/28,2,https://drive.google.com/open?id=1VxaDllKp-dgM1OBui2Vhz_Tfbv2cGirf\,https://drive.google.com/file/d/1-tCAHKT0wI8VRWSvDW1BzpDceKMpUeTH/view?usp=drivesdk\,,,,,,,,
29,,,,,https://www.mafteiach.app/maamorim/29,2,https://drive.google.com/open?id=1Zwss4FN92DkPmSIp7-3fOYrRx2pMfzGf\,https://drive.google.com/file/d/1gIHAYaF74EBEJflZGhA_WBpCzMa6OsKa/view?usp=drivesdk\,,,,,,,,
30,,,,,https://www.mafteiach.app/maamorim/30,3,https://drive.google.com/open?id=1oHCHGn2kq6s58ao62y3XisY9XblZ3I0B\,https://drive.google.com/open?id=1ohMZmycgjpe6z3NKJLsfisnFhCbYVz24\,https://drive.google.com/file/d/1m1Emc4-c8Xbl9y2t-x56sCcd_ky16Y4h/view?usp=sharing\,,,,,,,
31,,,,,https://www.mafteiach.app/maamorim/31,2,https://drive.google.com/open?id=1AweuJYRpE4RVd3vhBqGIEY2qazyvQRRh\,https://drive.google.com/file/d/11-tucboVAJPFhaQQQTUkmKJwwYxq-RQN/view?usp=drivesdk\,,,,,,,,
